o_lon,o_lat,d_lon,d_lat,count,from_node,to_node
114.0509944,22.51818853,114.051626,22.51117383,148,373,383
113.9406558,22.54287695,113.9336253,22.54256673,146,164,135
113.9186832,22.52710131,113.9173127,22.52114707,109,75,71
114.0509944,22.51818853,114.0509944,22.51818853,105,373,373
113.9494284,22.57980162,113.947053,22.55887657,83,203,193
113.9190799,22.54314415,113.9449508,22.54305787,78,77,182
113.9633477,22.54208418,113.9336253,22.54256673,75,239,135
114.0597198,22.52591345,114.0487663,22.51081322,75,413,370
114.1338632,22.54921672,114.1361313,22.54951279,73,583,590
114.1644832,22.5627503,114.1338632,22.54921672,67,611,583
113.9633477,22.54208418,113.9491413,22.54326376,64,239,202
113.9494284,22.57980162,113.9491413,22.54326376,63,203,202
113.9494284,22.57980162,113.9509113,22.57905941,61,203,211
113.9606305,22.58492456,113.977941,22.58713395,54,228,264
114.0202182,22.53203739,113.9328302,22.52460435,51,310,129
114.0041395,22.59957049,114.0041395,22.59957049,50,287,287
113.9494284,22.57980162,113.9404917,22.55274673,50,203,160
114.0542878,22.56237068,114.0439385,22.55674539,50,389,349
114.0374545,22.52361807,114.051626,22.51117383,48,334,383
113.950014,22.57141464,113.947053,22.55887657,48,208,193
114.0597198,22.52591345,114.0609908,22.52112392,47,413,415
113.9190799,22.54314415,113.9336253,22.54256673,46,77,135
113.9633477,22.54208418,113.9451564,22.53255125,45,239,186
114.1350728,22.55860698,114.1439608,22.55553852,45,587,600
114.0478162,22.5425021,114.0357464,22.54152815,44,362,329
113.9494284,22.57980162,113.950014,22.57141464,44,203,208
113.9633477,22.54208418,113.9206722,22.51237556,44,239,87
114.0597198,22.52591345,114.041572,22.51137132,43,413,344
113.9494284,22.57980162,113.9407344,22.55993307,42,203,166
113.9155517,22.54329581,113.9449508,22.54305787,41,67,182
113.9186832,22.52710131,113.9206722,22.51237556,40,75,87
113.9509113,22.57905941,113.950014,22.57141464,39,211,208
113.9143134,22.53554164,113.9328302,22.52460435,39,63,129
113.9236399,22.5078368,113.9362441,22.50801811,39,94,148
114.0487663,22.51081322,114.0509944,22.51818853,39,370,373
114.0597198,22.52591345,114.0554832,22.51394382,38,413,391
113.9035937,22.51661875,113.9103595,22.53126836,38,36,52
114.1374593,22.56901485,114.1063186,22.54472798,38,592,505
113.9155517,22.54329581,113.9336253,22.54256673,37,67,135
114.0720729,22.53584401,114.0787465,22.54317312,37,435,446
113.9633477,22.54208418,113.9406558,22.54287695,37,239,164
114.1644832,22.5627503,114.1136231,22.54241739,37,611,519
114.1227587,22.57932726,114.1245005,22.57227306,37,549,554
114.1644832,22.5627503,114.1350728,22.55860698,36,611,587
113.950014,22.57141464,113.9404917,22.55274673,36,208,160
113.9606305,22.58492456,113.9404917,22.55274673,35,228,160
113.9494284,22.57980162,113.953809,22.55115046,35,203,216
113.9186832,22.52710131,113.9328302,22.52460435,35,75,129
113.9633477,22.54208418,113.9449508,22.54305787,35,239,182
113.940616,22.54616779,113.940445,22.55527886,35,162,159
114.1218944,22.54724533,114.1137426,22.54592857,34,545,521
114.1350728,22.55860698,114.161494,22.56428444,34,587,607
113.9186832,22.52710131,113.915445,22.51041213,34,75,66
113.9491413,22.54326376,113.9406558,22.54287695,34,202,164
114.0326622,22.52622861,113.9328302,22.52460435,33,320,129
114.0374545,22.52361807,114.0509944,22.51818853,33,334,373
114.1374593,22.56901485,114.1167791,22.54823711,33,592,530
114.1292351,22.55073263,114.1142416,22.53596639,33,566,523
114.107525,22.56679353,114.121489,22.56909791,32,508,543
113.9621778,22.53376133,113.9404917,22.55274673,32,233,160
113.9199821,22.53534908,113.9328302,22.52460435,32,82,129
113.950014,22.57141464,113.9713587,22.53910036,32,208,253
113.9494284,22.57980162,113.9466447,22.56528032,32,203,192
114.0609908,22.52112392,114.0554832,22.51394382,32,415,391
113.9146524,22.52693923,113.9328302,22.52460435,32,64,129
113.9528965,22.55975497,113.9713587,22.53910036,31,214,253
114.0326622,22.52622861,113.9452663,22.52433567,31,320,189
113.9143134,22.53554164,113.9336253,22.54256673,31,63,135
113.9494284,22.57980162,113.9406558,22.54287695,31,203,164
114.0509944,22.51818853,114.0554832,22.51394382,31,373,391
114.1361313,22.54951279,114.1338632,22.54921672,30,590,583
113.9509113,22.57905941,113.9404917,22.55274673,30,211,160
113.9186832,22.52710131,113.9188483,22.50788642,30,75,76
114.0289969,22.52073647,114.0509944,22.51818853,30,316,373
114.1374593,22.56901485,114.1251654,22.55918041,30,592,559
113.950014,22.57141464,113.9491413,22.54326376,30,208,202
114.1374593,22.56901485,114.1172394,22.55115992,29,592,533
113.983442,22.5604799,113.9819452,22.55259242,29,271,268
113.9188483,22.50788642,113.9157571,22.4999147,29,76,68
114.0609908,22.52112392,114.051626,22.51117383,29,415,383
113.9276676,22.51793513,113.9404917,22.55274673,29,109,160
113.9691219,22.61983592,113.9580431,22.59633988,29,248,222
114.0630944,22.53166919,114.051626,22.51117383,29,425,383
113.9188483,22.50788642,113.9122306,22.49072078,28,76,58
113.9236399,22.5078368,113.9272427,22.50789593,28,94,106
114.1350728,22.55860698,114.1654621,22.57111773,28,587,612
114.0326622,22.52622861,114.0219436,22.54493189,28,320,311
113.9491413,22.54326376,113.9336253,22.54256673,28,202,135
113.9097299,22.52584499,113.9103595,22.53126836,28,47,52
114.1338632,22.54921672,114.1439608,22.55553852,28,583,600
114.1350728,22.55860698,114.1644087,22.56680131,28,587,609
114.0609908,22.52112392,114.0486119,22.51236018,27,415,368
114.1251654,22.55918041,114.1318637,22.56197601,27,559,576
114.1182376,22.56567127,114.1167791,22.54823711,27,537,530
